Recipe ID,Foods,Ingredients,instructions
11,Grilled Salmon,"""Salmon fillets, Lemon, Olive oil, Salt, Pepper""","""1.Preheat grill to medium-high heat. 2. Rub salmon fillets with olive oil and season with salt and pepper. 3. Place salmon on the grill, skin side down. 4. Grill for 4-5 minutes per side, or until fish flakes easily with a fork. 5. Squeeze fresh lemon juice over salmon before serving."""
12,Shrimp Scampi,"""Shrimp, Linguine pasta, Garlic, Butter, White wine, Lemon juice, Parsley, Olive oil, Salt, Pepper""","""1.Cook linguine pasta according to package instructions. 2. In a large skillet, heat olive oil over medium heat. 3. Add minced garlic and cook until fragrant. 4. Add shrimp to skillet and cook until pink and opaque. 5. Stir in butter, white wine, and lemon juice. 6. Season with salt and pepper. 7. Toss cooked pasta with shrimp mixture. 8. Garnish with chopped parsley before serving."""
13,Vegetable Lasagna,"""Lasagna noodles, Marinara sauce, Ricotta cheese, Mozzarella cheese, Parmesan cheese, Spinach, Zucchini, Bell peppers, Onion, Garlic, Olive oil, Salt, Pepper""","""1.Preheat oven to 375ÁF (190ÁC). 2. In a large skillet, heat olive oil over medium heat. 3. Add chopped onion, bell peppers, and minced garlic. 4. Cook until vegetables are softened. 5. Stir in spinach and zucchini, cook until wilted. 6. In a baking dish, spread a layer of marinara sauce. 7. Arrange a layer of lasagna noodles over the sauce. 8. Spread a layer of ricotta cheese over noodles. 9. Sprinkle with mozzarella and Parmesan cheese. 10. Repeat layers until ingredients are used up, ending with cheese on top. 11. Cover with foil and bake for 30 minutes. 12. Remove foil and bake for an additional 15 minutes, or until cheese is golden and bubbly."""
14,Beef Chili ,"""Ground beef, Onion, Bell peppers, Tomato, Kidney beans, Chili powder, Cumin, Paprika, Garlic powder, Tomato paste, Beef broth, Olive oil, Salt, Pepper""","""1.In a large pot, heat olive oil over medium heat. 2. Add chopped onion, bell peppers, and minced garlic. 3. Cook until vegetables are softened. 4. Add ground beef and cook until browned. 5. Stir in chili powder, cumin, paprika, and garlic powder. 6. Add diced tomatoes, tomato paste, kidney beans, and beef broth. 7. Season with salt and pepper. 8. Simmer for 30-40 minutes, stirring occasionally. 9. Serve hot with your favorite toppings."
15,Chicken Alfredo,"""Penne pasta, Chicken breast, Heavy cream, Parmesan cheese, Garlic, Butter, Olive oil, Salt, Pepper""","""1.Cook penne pasta according to package instructions. 2. Season chicken breast with salt and pepper. 3. In a large skillet, heat olive oil over medium-high heat. 4. Add chicken breast and cook until browned and cooked through. 5. Remove chicken from skillet and set aside. 6. In the same skillet, melt butter and add minced garlic. 7. Stir in heavy cream and Parmesan cheese, simmer until sauce thickens. 8. Slice cooked chicken and add it back to the skillet. 9. Toss cooked pasta with chicken and sauce. 10. Serve hot, garnished with additional Parmesan cheese if desired."""
16,Greek Salad,"""Romaine lettuce, Cucumber, Tomato, Red onion, Kalamata olives, Feta cheese, Olive oil, Red wine vinegar, Oregano, Salt, Pepper""","""1.Wash and chop Romaine lettuce. 2. Slice cucumber, tomato, and red onion. 3. In a large bowl, combine lettuce, cucumber, tomato, red onion, and Kalamata olives. 4. Crumble feta cheese over the salad. 5. In a small bowl, whisk together olive oil, red wine vinegar, oregano, salt, and pepper. 6. Drizzle dressing over salad and toss to coat evenly. 7. Serve immediately."""
17,Beef and Broccoli,"""Flank steak, Broccoli, Garlic, Soy sauce, Brown sugar, Cornstarch, Olive oil, Salt, Pepper""","""1.Slice flank steak thinly against the grain. 2. In a small bowl, whisk together soy sauce, brown sugar, minced garlic, and cornstarch. 3. In a large skillet or wok, heat olive oil over high heat. 4. Add sliced beef and cook until browned. 5. Add broccoli florets and cook until tender-crisp. 6. Pour soy sauce mixture over beef and broccoli. 7. Stir-fry until sauce thickens. 8. Season with salt and pepper. 9. Serve hot over cooked rice."""
18,Vegetable Fried Rice,"""Rice, Carrots, Peas, Corn, Bell peppers, Onion, Garlic, Soy sauce, Sesame oil, Olive oil, Eggs, Salt, Pepper""","""1.Cook rice according to package instructions and let it cool completely. 2. In a large skillet or wok, heat olive oil over medium heat. 3. Add chopped onion and minced garlic, cook until softened. 4. Add diced carrots, peas, corn, and sliced bell peppers. 5. Push vegetables to one side of the skillet and scramble eggs on the other side. 6. Once eggs are cooked, combine them with the vegetables. 7. Stir in cooked rice, soy sauce, and sesame oil. 8. Season with salt and pepper. 9. Stir-fry until everything is heated through. 10. Serve hot."""
19,Beef and Vegetable Stir-Fry,"""Beef sirloin, Bell peppers, Broccoli, Carrots, Snap peas, Onion, Garlic, Ginger, Soy sauce, Rice vinegar, Sesame oil, Olive oil, Cornstarch, Salt, Pepper""","""1.Slice beef sirloin thinly against the grain. 2. In a small bowl, whisk together soy sauce, rice vinegar, minced garlic, grated ginger, and cornstarch. 3. In a large skillet or wok, heat olive oil over high heat. 4. Add sliced beef and cook until browned. 5. Remove beef from skillet and set aside. 6. Add sliced bell peppers, broccoli florets, julienned carrots, snap peas, and sliced onion to the skillet. 7. Stir-fry until vegetables are tender-crisp. 8. Return beef to the skillet. 9. Drizzle with sesame oil and season with salt and pepper. 10. Stir-fry until everything is coated and heated through. 11. Serve hot over cooked rice."""
20,Chicken Caesar Wrap,"""Chicken breast, Romaine lettuce, Parmesan cheese, Caesar dressing, Tortilla wraps, Olive oil, Salt, Pepper""","""1.Season chicken breast with salt and pepper. 2. In a skillet, heat olive oil over medium heat. 3. Add chicken breast and cook until browned and cooked through. 4. Remove chicken from skillet and slice into strips. 5. Lay out a tortilla wrap and spread Caesar dressing over it. 6. Layer Romaine lettuce leaves on top of the dressing. 7. Place sliced chicken strips on top of the lettuce. 8. Sprinkle grated Parmesan cheese over the chicken. 9. Roll up the tortilla tightly. 10. Cut the wrap in half diagonally. 11. Serve immediately."

